1	9365	9096
1.0999	8122.9	7749.4
1.1998	6782.2	6401.6
1.2997	5955.1	5369.7
1.3996	5053.9	4563.2
1.4995	4337.9	3921.6
1.5995	3738.1	3374.1
1.6994	3251.8	2930.8
1.7993	2850.4	2564.7
1.8992	2513.9	2258.3
1.9991	2228.4	1999.1
2.099	1984.4	1778.6
2.1989	1775.3	1589.9
2.2988	1595.1	1427.4
2.3987	1438.9	1286.9
2.4986	1302.9	1164.6
2.5986	1183.9	1057.8
2.6985	1079.4	963.97
2.7984	987.26	881.29
2.8983	905.66	808.11
2.9982	833.13	743.1
3.0981	768.35	685
3.198	710.21	632.8
3.2979	657.9	585.85
3.3978	610.7	543.54
3.4977	568.01	505.33
3.5977	529.31	470.77
3.6976	494.15	439.43
3.7975	462.13	410.94
3.8974	432.91	385
3.9973	406.19	361.31
4.0972	381.59	339.41
4.1971	358.85	319.3
4.297	337.92	300.82
4.3969	318.68	283.8
4.4968	300.98	268.09
4.5968	284.7	741.66
4.6967	269.66	709.57
4.7966	255.74	679.5
4.8965	242.8	878.42
4.9964	230.72	844.2
5.0963	640.13	802.57
5.1962	609.83	880.3
5.2961	581.5	839.88
5.396	756.25	802.03
5.4959	722.45	766.53
5.5959	690.73	733.2
5.6958	660.93	701.88
5.7957	729.45	672.4
5.8956	700.06	644.63
5.9955	672.31	618.44
6.0954	644.59	592.53
6.1953	618.45	568.09
6.2952	593.81	545.07
6.3951	570.55	523.33
6.495	548.54	502.78
6.595	527.69	483.33
6.6949	507.91	464.89
6.7948	489.13	447.39
6.8947	471.27	430.77
6.9946	454.28	414.98
7.0945	438.09	399.95
7.1944	422.67	385.64
7.2943	407.96	372.02
7.3942	393.93	359.04
7.4941	380.54	346.66
7.5941	367.75	334.86
7.694	355.53	323.59
7.7939	343.86	312.85
7.8938	332.71	302.59
7.9937	322.06	292.8
8.0936	311.86	283.45
8.1935	302.09	274.5
8.2934	292.73	265.93
8.3933	283.75	257.73
8.4932	275.14	249.86
8.5932	266.88	242.32
8.6931	258.95	235.09
8.793	251.33	228.15
8.8929	244.02	221.49
8.9928	236.98	215.09
9.0927	230.22	208.93
9.1926	223.72	203.02
9.2925	217.46	197.32
9.3924	211.44	191.85
9.4923	205.65	186.57
9.5923	200.06	181.5
9.6922	194.68	176.6
9.7921	189.5	171.89
9.892	184.5	167.34
9.9919	179.68	162.95
10.092	175.03	158.72
10.192	170.55	154.63
10.292	166.21	150.68
10.392	162.03	146.87
10.491	157.98	143.19
10.591	154.08	139.64
10.691	150.3	136.2
10.791	146.65	132.88
10.891	143.11	129.66
10.991	139.69	126.55
11.091	136.39	123.54
11.191	133.18	120.63
11.291	130.08	117.81
11.391	127.08	115.07
11.491	124.17	112.43
11.59	121.35	109.86
11.69	118.61	107.38
11.79	115.96	104.97
11.89	113.39	102.63
11.99	110.9	100.37
12.09	108.48	98.167
12.19	106.13	96.033
12.29	103.85	93.962
12.39	101.63	91.951
12.49	99.485	89.999
12.59	97.397	88.103
12.689	95.369	86.26
12.789	93.397	84.47
12.889	91.481	82.731
12.989	89.618	81.039
13.089	87.807	79.395
13.189	86.045	77.796
13.289	84.331	76.241
13.389	82.664	74.727
13.489	81.041	73.255
13.589	79.462	71.822
13.689	77.924	70.427
13.788	76.427	69.069
13.888	74.969	67.746
13.988	73.548	66.458
14.088	72.165	65.203
14.188	70.816	63.981
14.288	69.502	62.789
14.388	68.221	61.628
14.488	66.973	60.496
14.588	65.755	59.393
14.688	64.568	58.317
14.788	63.409	57.267
14.887	62.28	56.243
14.987	61.177	55.244
15.087	60.101	54.269
15.187	59.051	53.318
15.287	58.025	52.389
15.387	57.023	51.481
15.487	56.045	50.595
15.587	55.089	49.729
15.687	54.155	48.883
15.787	53.242	48.057
15.887	52.35	47.25
15.986	51.479	46.46
16.086	50.627	45.689
16.186	49.794	44.935
16.286	48.979	44.198
16.386	48.183	43.477
16.486	47.404	42.772
16.586	46.642	42.082
16.686	45.897	41.408
16.786	45.168	40.748
16.886	44.454	40.103
16.986	43.756	39.471
17.086	43.073	38.853
17.185	42.404	38.248
17.285	41.749	37.656
17.385	41.108	37.076
17.485	40.481	36.508
17.585	39.866	35.953
17.685	39.264	35.408
17.785	38.675	34.875
17.885	38.097	34.353
17.985	37.531	33.842
18.085	36.977	33.341
18.185	36.434	32.85
18.284	35.902	32.369
18.384	35.38	31.898
18.484	34.869	31.436
18.584	34.368	30.983
18.684	33.877	30.539
18.784	33.395	30.104
18.884	32.923	29.677
18.984	32.459	29.258
19.084	32.005	28.848
19.184	31.56	28.446
19.284	31.123	28.051
19.383	30.694	27.664
19.483	30.273	27.284
19.583	29.86	26.911
19.683	29.455	26.545
19.783	29.058	26.186
19.883	28.668	25.834
19.983	28.285	25.489
20.083	27.909	25.149
20.183	27.54	24.816
20.283	27.177	24.489
20.383	26.821	24.168
20.482	26.472	23.852
20.582	26.128	23.542
20.682	25.791	23.238
20.782	25.459	22.939
20.882	25.133	22.645
20.982	24.813	22.356
21.082	24.499	22.072
21.182	24.19	21.794
21.282	23.886	21.52
21.382	23.587	21.25
21.482	23.294	20.986
21.581	23.005	20.726
21.681	22.722	20.47
21.781	22.443	20.218
21.881	22.168	19.971
21.981	21.899	19.728
22.081	21.634	19.489
22.181	21.373	19.254
22.281	21.116	19.023
22.381	20.864	18.796
22.481	20.616	18.572
22.581	20.372	18.352
22.68	20.132	18.135
22.78	19.896	17.923
22.88	19.663	17.713
22.98	19.434	17.507
23.08	19.209	17.304
23.18	18.988	17.104
23.28	18.77	16.908
