PSTAR: Stopping Powers and Range Tables for Protons

URANIUM                                                                 

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

3.000E+02	1.740E+00	3.949E-04	1.740E+00	
3.500E+02	1.612E+00	3.427E-04	1.612E+00	
4.000E+02	1.515E+00	3.031E-04	1.516E+00	
4.500E+02	1.441E+00	2.719E-04	1.441E+00	
5.000E+02	1.382E+00	2.467E-04	1.382E+00	
5.500E+02	1.334E+00	2.259E-04	1.334E+00	
6.000E+02	1.295E+00	2.084E-04	1.295E+00	
6.500E+02	1.263E+00	1.935E-04	1.263E+00	
7.000E+02	1.236E+00	1.806E-04	1.236E+00	
7.500E+02	1.213E+00	1.694E-04	1.213E+00	
8.000E+02	1.193E+00	1.596E-04	1.194E+00	
8.500E+02	1.177E+00	1.509E-04	1.177E+00	
9.000E+02	1.163E+00	1.431E-04	1.163E+00	
9.500E+02	1.150E+00	1.361E-04	1.150E+00	
1.000E+03	1.140E+00	1.297E-04	1.140E+00	
1.500E+03	1.087E+00	8.898E-05	1.087E+00	
2.000E+03	1.077E+00	6.809E-05	1.077E+00	
2.500E+03	1.082E+00	5.533E-05	1.082E+00	
3.000E+03	1.092E+00	4.670E-05	1.092E+00	
4.000E+03	1.117E+00	3.575E-05	1.117E+00	
5.000E+03	1.143E+00	2.906E-05	1.143E+00	
6.000E+03	1.167E+00	2.453E-05	1.167E+00	
7.000E+03	1.189E+00	2.126E-05	1.189E+00	
8.000E+03	1.208E+00	1.878E-05	1.208E+00	
9.000E+03	1.226E+00	1.683E-05	1.226E+00	
1.000E+04	1.242E+00	1.527E-05	1.242E+00	
