PSTAR: Stopping Powers and Range Tables for Protons

MOLYBDENUM                                                              

Kinetic  	Electron.	Nuclear  	Total    	
Energy   	Stp. Pow.	Stp. Pow.	Stp. Pow.	
MeV      	MeV cm2/g	MeV cm2/g	MeV cm2/g	

2.750E+02	2.323E+00	5.901E-04	2.324E+00	
3.000E+02	2.216E+00	5.440E-04	2.217E+00	
3.500E+02	2.048E+00	4.710E-04	2.048E+00	
4.000E+02	1.921E+00	4.156E-04	1.922E+00	
4.500E+02	1.823E+00	3.722E-04	1.824E+00	
5.000E+02	1.746E+00	3.372E-04	1.746E+00	
5.500E+02	1.683E+00	3.084E-04	1.684E+00	
6.000E+02	1.632E+00	2.842E-04	1.632E+00	
6.500E+02	1.589E+00	2.637E-04	1.589E+00	
7.000E+02	1.553E+00	2.460E-04	1.553E+00	
7.500E+02	1.523E+00	2.305E-04	1.523E+00	
8.000E+02	1.497E+00	2.170E-04	1.497E+00	
8.500E+02	1.474E+00	2.050E-04	1.475E+00	
9.000E+02	1.455E+00	1.943E-04	1.455E+00	
9.500E+02	1.438E+00	1.847E-04	1.439E+00	
1.000E+03	1.424E+00	1.760E-04	1.424E+00	
1.500E+03	1.348E+00	1.203E-04	1.348E+00	
2.000E+03	1.329E+00	9.192E-05	1.329E+00	
2.500E+03	1.329E+00	7.460E-05	1.329E+00	
3.000E+03	1.337E+00	6.292E-05	1.337E+00	
4.000E+03	1.361E+00	4.809E-05	1.361E+00	
5.000E+03	1.386E+00	3.906E-05	1.386E+00	
6.000E+03	1.410E+00	3.295E-05	1.410E+00	
7.000E+03	1.433E+00	2.854E-05	1.433E+00	
8.000E+03	1.453E+00	2.520E-05	1.453E+00	
9.000E+03	1.471E+00	2.258E-05	1.471E+00	
1.000E+04	1.487E+00	2.047E-05	1.488E+00	
